target,feature_group,model,candidate,test_rmse,delta_vs_E0
ADRO.JK,E0,gru,lookback10_hidden32,0.027035098934158938,0.0
ADRO.JK,E1,gru,lookback5_hidden16,0.02702717977597425,-7.919158184689634e-06
ADRO.JK,E2,gru,lookback10_hidden32,0.02708917217397018,5.407323981124201e-05
ADRO.JK,E3,gru,lookback10_hidden32,0.02715956657043843,0.00012446763627949053
PTBA.JK,E0,transformer,lookback10_d32_heads4_ff64,0.020056124994441895,0.0
PTBA.JK,E1,gru,lookback5_hidden16,0.020040166303558694,-1.5958690883201287e-05
PTBA.JK,E2,gru,lookback10_hidden32,0.020010886907043977,-4.523808739791829e-05
PTBA.JK,E3,gru,lookback10_hidden32,0.02001219116118811,-4.393383325378489e-05
ITMG.JK,E0,gru,lookback10_hidden32,0.017493306506005158,0.0
ITMG.JK,E1,gru,lookback5_hidden16,0.017565774154803277,7.246764879811907e-05
ITMG.JK,E2,transformer,lookback5_d16_heads2_ff32,0.018815975548542287,0.0013226690425371286
ITMG.JK,E3,gru,lookback10_hidden32,0.01760009582484571,0.00010678931884055068
