target,feature_group,model,candidate,mean_fold_rmse,test_rmse
ADRO.JK,E0,zero_return_naive,,0.030829372129614785,0.027034669123747503
ADRO.JK,E0,xgboost,depth3_lr003,0.0309579459099949,0.027624620184271906
ADRO.JK,E0,gru,lookback10_hidden32,0.030751121348640154,0.02702992907848297
ADRO.JK,E0,transformer,lookback10_d32_heads4_ff64,0.03075371718640647,0.027205275302920745
ADRO.JK,E1,zero_return_naive,,0.030829372129614785,0.027034669123747503
ADRO.JK,E1,xgboost,depth2_lr005,0.031188605885770677,0.027433307209003336
ADRO.JK,E1,gru,lookback5_hidden16,0.03075985437660997,0.027010560405349226
ADRO.JK,E1,transformer,lookback10_d32_heads4_ff64,0.030854557224281483,0.027288761024605774
ADRO.JK,E2,zero_return_naive,,0.030829372129614785,0.027034669123747503
ADRO.JK,E2,xgboost,depth2_lr005,0.031085448820867407,0.02719794823540729
ADRO.JK,E2,gru,lookback10_hidden32,0.03046079756789219,0.02709402115525211
ADRO.JK,E2,transformer,lookback10_d32_heads4_ff64,0.030628972603562187,0.02704324201409356
ADRO.JK,E3,zero_return_naive,,0.030829372129614785,0.027034669123747503
ADRO.JK,E3,xgboost,depth2_lr005,0.031384038609106275,0.02735899276844859
ADRO.JK,E3,gru,lookback10_hidden32,0.030510917367648244,0.02708780047536843
ADRO.JK,E3,transformer,lookback5_d16_heads2_ff32,0.03079562168207574,0.027094307468988138
PTBA.JK,E0,zero_return_naive,,0.02711961471103165,0.01996016120460096
PTBA.JK,E0,xgboost,depth2_lr005,0.027079869346098198,0.020393073998977856
PTBA.JK,E0,gru,lookback5_hidden16,0.027038834269938198,0.01992731422040234
PTBA.JK,E0,transformer,lookback10_d32_heads4_ff64,0.02698006777969117,0.0200769985426208
PTBA.JK,E1,zero_return_naive,,0.02711961471103165,0.01996016120460096
PTBA.JK,E1,xgboost,depth2_lr005,0.027157686788398125,0.020219156623031236
PTBA.JK,E1,gru,lookback5_hidden16,0.026985184053079207,0.020013641518149716
PTBA.JK,E1,transformer,lookback5_d16_heads2_ff32,0.027008888682008247,0.020083026504650613
PTBA.JK,E2,zero_return_naive,,0.02711961471103165,0.01996016120460096
PTBA.JK,E2,xgboost,depth2_lr005,0.0271364755299971,0.02039532403237418
PTBA.JK,E2,gru,lookback10_hidden32,0.02685748044391413,0.020010806452749167
PTBA.JK,E2,transformer,lookback10_d32_heads4_ff64,0.02696678264298163,0.020023571753764846
PTBA.JK,E3,zero_return_naive,,0.02711961471103165,0.01996016120460096
PTBA.JK,E3,xgboost,depth2_lr005,0.027231582333221604,0.020330272996126532
PTBA.JK,E3,gru,lookback10_hidden32,0.026770209970618408,0.020017502646403625
PTBA.JK,E3,transformer,lookback5_d16_heads2_ff32,0.026942907506800062,0.020044565845204657
ITMG.JK,E0,zero_return_naive,,0.029357941242592066,0.017460452712777196
ITMG.JK,E0,xgboost,depth2_lr005,0.029682208233384324,0.01762240379084997
ITMG.JK,E0,gru,lookback10_hidden32,0.029178983840786706,0.017514902494202008
ITMG.JK,E0,transformer,lookback5_d16_heads2_ff32,0.029244659263171574,0.0176258761460278
ITMG.JK,E1,zero_return_naive,,0.029357941242592066,0.017460452712777196
ITMG.JK,E1,xgboost,depth3_lr003,0.029532319266312255,0.017726494170563708
ITMG.JK,E1,gru,lookback5_hidden16,0.029063252366646888,0.017600081844423597
ITMG.JK,E1,transformer,lookback5_d16_heads2_ff32,0.029197923011249762,0.01770915613737775
ITMG.JK,E2,zero_return_naive,,0.029357941242592066,0.017460452712777196
ITMG.JK,E2,xgboost,depth2_lr005,0.029313802232286634,0.017807189948082666
ITMG.JK,E2,gru,lookback10_hidden32,0.029146088967960906,0.017649547193967406
ITMG.JK,E2,transformer,lookback5_d16_heads2_ff32,0.029128173690413636,0.017704642688178153
ITMG.JK,E3,zero_return_naive,,0.029357941242592066,0.017460452712777196
ITMG.JK,E3,xgboost,depth2_lr005,0.029399580461535995,0.01776519699494987
ITMG.JK,E3,gru,lookback10_hidden32,0.029101747221492433,0.01763648588371763
ITMG.JK,E3,transformer,lookback5_d16_heads2_ff32,0.029156610088274793,0.018039373857413086
